HiggsM,DNN_score,DPhi_jj,Eta_jj,M_jj,Njets,OO1
118198.06,-0.40018713,0.81349975,5.1564345,617256.6,2,-0.07126375
117940.32,-3.5391324,2.8303554,2.9402142,233526.6,3,0.014366352
134082.92,0.99791807,2.637736,2.373302,749208.5,3,1.0596467
121099.59,-3.2355962,2.3346424,2.4937453,336898.44,4,-0.60108423
132634.11,-0.55153084,2.7246158,3.4956102,441148.66,4,0.24847996
131788.4,0.1868789,1.398616,3.74717,366014.0,3,-0.29874665
127473.39,-2.6061754,2.3254387,2.3974683,307808.4,5,-1.5931544
124315.414,-2.6245747,2.2921407,2.035756,648647.75,11,0.46971887
124493.26,-2.7915878,2.8272398,2.4131649,165104.12,2,0.17362095
118681.09,-2.297065,2.0141943,3.1342444,208018.48,3,-0.36175835
119523.59,-1.7968674,2.9404855,4.349504,618744.7,5,0.0568884
133303.45,-0.7738408,2.8132973,2.7548494,198740.16,2,0.09265129
115620.39,-1.342187,2.968346,2.354213,287242.97,2,0.1595949
119581.26,-2.7130225,0.38728547,6.021734,625050.1,9,0.11896075
131926.12,-2.2806768,3.0646653,2.1535807,352985.28,4,-0.16870232
127219.22,-1.4045722,2.3841891,5.793756,816676.0,2,0.026715836
129537.62,-0.7039544,1.0758421,3.156385,301417.28,4,1.7922198
117071.09,0.8082352,1.8985453,4.3213134,774614.4,3,-0.4006171
129950.69,1.3402413,0.021624565,4.5018883,440340.22,2,-0.019449469
118454.77,0.01266237,2.6615968,3.5927172,516419.4,12,-0.14126064
116581.836,-0.49041936,2.366726,2.7228093,338863.5,3,-1.5802947
123346.484,-2.3445876,2.7361171,2.4350712,404201.53,2,-0.50524867
